icao24,r,t
a8deda,N67052,B764
aaea8c,N802NW,A333
a0d961,N154DL,B763
400600000,G-VXLG,B744
394a0b,F-GSQL,B77W
4005b9,G-VIIA,B772
400feb,G-BUUR,ATP
a89d59,N654UA,B763
4006c2,G-VIIP,B772
300174,I-DISA,B772
8003ba,VT-JWH,A332
3c64f9,D-AIGY,A343
aab202,N789AN,B772
a8dee0,N67058,B764
a1aa10,N206UA,B772
400678,G-VAST,B744
3c706d,D-ALCM,MD11
ae07bf,63-7979,K35R
4005a5,G-CIVF,B744
a8a4c7,N656UA,B763
a1574e,N186DN,B763
405200,G-OCEG,BE20
400776,G-VIIY,B772
4007f2,G-YMMG,B772
800438,VT-JWJ,A332
00b0ba,ZS-SLD,A342
aa6b9d,N77012,B772
c0054f,C-FCAG,B763
393508,F-GNII,A343
a16228,N189AN,B752
3c64e8,D-AIGH,A343
ae07b2,61-0306,K35R
aa2184,N752AN,B772
aa9f6f,N784AN,B772
7801cd,B-HKE,B744
aa4903,N762AN,B772
400771,G-VIIT,B772
400473,G-MONJ,B752
a3f761,N355AA,B763
3c6564,D-AIKD,A333
a42a05,N368AA,B763
40068a,G-VCED,A320
ab8fd0,N844MH,B764
80043e,VT-JWQ,A332
4005bb,G-VIIC,B772
0d0163,XA-TOJ,B762
a0d1f3,N152DL,B763
aaa125,N784UA,B772
400db0,G-EZAL,A319
a90a13,N68155,B762
400676,G-VAIR,A343
392f27,F-GLZH,A343
400092,VP-BKZ,GLF5
40073f,G-BYGG,B744
394a08,F-GSQI,B77W
a0d5aa,N153DL,B763
4b16b9,HB-IPT,A319
396446,F-GZCG,A332
400ff3,G-FDZB,B738
400613,G-CIVK,B744
4ca6d7,EI-DSR,A320
a8b9b3,N661UA,B763
89613b,A6-EYF,A332
400773,G-VIIV,B772
400646,G-BTPE,ATP
394a07,F-GSQH,B773
400aed,G-OOBJ,B752
405f0c,G-EZFD,A319
3a266d,F-OJTN,A343
a8b5fc,N660UA,B763
4005be,G-VIIF,B772
4400b3,OE-LDB,A319
aafd1f,N807NW,A333
4ca64d,EI-DYK,B738
ad0181,N937UW,B752
3982a8,F-HAVI,B752
a75103,N57016,B772
3c4e43,D-ACRC,CRJ2
c04081,C-FYLC,B738
4840d6,PH-KZD,F70
392f22,F-GLZC,A343
ab5d2c,N831MH,B764
495205,CS-TPE,F100
a4a93b,N4PG,GLF5
400d87,G-TTIE,A321
34311a,EC-KNM,A320
4ca768,EI-EFM,B738
c0174f,C-FIVM,B773
400789,G-CPEV,B752
400804,G-EUPD,A319
400c42,G-EJAR,A319
3c6622,D-AIQB,A320
aad3c9,N797UA,B772
3c64e6,D-AIGF,A343
4006b3,G-BYGC,B744
400e1d,G-DBLA,B763
8961000000,A6-EYR,A332
4840fc,PH-WXA,F70
aa6b9f,N77014,B772
4ca704,EI-EBG,B738
4ca788,EI-DVJ,A320
c01753,C-FIVQ,B773
4008f8,G-VLIP,B744
400617,G-FCLA,B752
4ca73c,EI-EBT,B738
4010c9,G-FBED,E190
44d2a3,OO-TUC,B763
4004000000,G-DOCH,B734
c0252d,C-FOCA,B763
aa3417,N757AN,B772
4004cf,G-DOCG,B734
400772,G-VIIU,B772
4ca4f2,EI-DPN,B738
4ca4f7,EI-DPT,B738
484558,PH-BGA,B738
4bbc29,TC-OAI,A321
392ae9,F-GKXJ,A320
394524,F-GRJE,CRJ1
449159,OO-DJY,RJ85
4ca4f5,EI-DPR,B738
392f2e,F-GLZO,A343
3c4949,D-ABJI,B735
39ca8d,F-HSUN,B744
400427,G-BNLT,B744
8188,ZS-AOL,GLF5
400474,G-MONK,B752
a1775f,N194DN,B763
4ca64b,EI-DYI,B738
3c6515,D-AIHU,A346
a219e8,N2341S,BE30
896004,A6-EHH,A346
400560,G-DOCZ,B734
40600d,G-EZFI,A319
4ca687,EI-RJH,RJ85
4008b8,G-OOAR,A320
40048f,G-BPEE,B752
3c4aa6,D-ABUF,B763
392ae1,F-GKXB,A320
400925,G-VOGE,A346
4ca766,EI-EFK,B738
3c651a,D-AIHZ,A346
4911ab,CS-DMK,BE40
39572b,F-GVZL,AT72
4009ef,G-TOYC,B733
ae0945,01-0040,B737
4e+39,G-JECM,DH8D
400c52,G-OOBL,B763
43c04e,ZZ175,C17
4bd066,TC-TCF,A321
a8afec,N659UA,B763
4b16be,HB-IPY,A319
489543,SP-LKC,B735
a18284,N197DN,B763
4ca6aa,EI-DYW,B738
4ca623,EI-DWW,B738
4ca6a8,EI-DYT,B738
484928,PH-AAX,A320
40060000000,G-BZAV,RJ1H
a5c549,N471EV,B742
4840dc,PH-MCU,MD11
400807,G-CDZL,B738
400cf9,G-JECI,DH8D
4ca62b,EI-RJC,RJ85
40090000,G-TTOH,A320
40097e,G-EUUC,A320
ab20e7,N816NW,A333
4baa4c,TC-JRL,A321
a11380,N169DZ,B763
3c4d61,D-ACKA,CRJ9
4b16c8,HB-IQI,A332
a13386,N177DN,B763
aa75ef,N773UA,B772
406091,G-EUYE,A320
400916,G-OJMC,A332
4ca200,EI-DCE,B738
3c658c,D-AILL,A319
400b18,G-JECE,DH8D
4780aa,LN-RPF,B736
4006c4,G-VIIS,B772
ab5365,N829MH,B764
405f0d,G-EZFE,A319
4ca51d,EI-RJN,RJ85
a49569,N395AN,B763
40072e,G-THOO,B733
4006db,G-OOPE,A321
a4dab6,N41135,B752
400c0a,G-THOH,B733
461f35,OH-LVH,A319
300061,I-BIXD,A321
4ca2aa,EI-DHW,B738
405b77,G-ECOD,DH8D
4008cb,G-OZBS,A321
ae1461,Jun-63,C17
400c4c,G-EZIJ,A319
a99b83,N718TW,B752
400432,G-LSAA,B752
3423c4,EC-JRE,A321
40134e,G-JECZ,DH8D
3944f2,F-GRHS,A319
491258,CS-DRX,H25B
4b1906,HB-JMK,A343
400e4a,G-CDZI,B738
a14872,N182DN,B763
392aee,F-GKXO,A320
400d91,G-EZAG,A319
a14c29,N183DN,B763
400618,G-FCLB,B752
401106,G-JECW,DH8D
40070000,G-MIDY,A320
400bde,G-CDFY,BE20
405f11,G-EZTA,A320
484397,PH-AHX,B763
506c07,S5-AAG,CRJ2
49d0a8,OK-DGM,B734
a146f9,N18112,B752
4ca6ff,EI-EBB,B738
401050,G-JECT,DH8D
491100,CS-DOB,BE40
4009c6,G-EUUI,A320
43e753,M-USHY,C441
484367,PH-JFS,PC12
c05843,C-GHLA,B763
400c50,G-EZIN,A319
4ca217,EI-DEF,A320
aa4548,N761AJ,B772
400a6b,G-EZED,A319
aac981,N7942B,C172
4006c7,G-BZHB,B763
491185,CS-DLE,F2TH
400a26,G-EUUR,A320
4ca117,EI-CPH,A321
3c48b5,D-ABEU,B733
76ce05,9V-SPE,B744
400802,G-EUPB,A319
c02cf1,C-FRAM,B773
400f25,G-MAJX,JS41
400d58,G-VWIN,A346
4009000,G-TTOG,A320
3d3e19,D-EVTP,P46T
400a57,G-EZNC,A319
4006c3,G-VIIR,B772
06a032,A7-AEB,A333
4843af,PH-AHQ,B763
405633,G-EZDD,A319
40083c,G-EUPF,A319
a31f09,N30XC,CL30
400875,G-JMCD,B752
a00690,N100VA,EA50
a1a66d,N205UW,B752
400ae4,G-EZEW,A319
4008,G-JMAA,B753
c01755,C-FIVS,B773
3c4e06,D-ACPF,CRJ7
c0584f,C-GHLM,A333
400ae7,G-EZEZ,A319
40127a,G-CERZ,SB20
4007b2,G-BZAX,RJ1H
392264,F-GITE,B744
4006c8,G-BZHC,B763
392f34,F-GLZU,A343
aa92fb,N78004,B772
400a0e,G-EUUO,A320
43c07a,ZE705,L101
400b58,G-BTGV,PA34
3c658b,D-AILK,A319
ab4fae,N828MH,B764
405a4a,G-EUYB,A320
4004ca,G-DOCB,B734
3c4935,D-ABIU,B735
80000c,VT-ESO,B744
a0817f,N13113,B752
a14008,N18TM,GLEX
4403ec,OE-FCB,C510
c051f0,C-GFAT,A310
3c6504,D-AIHD,A346
484056,PH-BFN,B744
4006c1,G-VIIO,B772
c027d1,C-FPCA,B763
a3e213,N3497J,H25B
c078b1,C-GTSI,A310
aa9bb8,N783AN,B772
40087a,G-EUPK,A319
484163,PH-BXK,B738
aa8882,N778UA,B772
a1286c,N174DZ,B763
4951c8,CS-TNH,A320
71025b,473,C130
405f0b,G-EZFC,A319
c02202,C-FMWV,B763
39644a,F-GZCK,A332
3c6509,D-AIHI,A346
400892,G-PJPJ,B735
c06111,C-GKTS,A333
4ca4f4,EI-DPP,B738
3c4ace,D-ABVN,B744
4692d6,SX-DVV,A320
3e470b,D-ISCH,C25A
394a01,F-GSQB,B77W
400042,VP-CEB,GLEX
43c23f,ZR323,A109
c00800,C-FDAT,A310
4006ab,G-CIVU,B744
8960b4,A6-HRM,B744
405ece,G-GMED,PAY3
a1f1a0,N224UA,B772
45acc8,OY-KFH,CRJ9
4006c6,G-BZHA,B763
89607e,A6-EMU,B773
400511,G-BYAI,B752
a059e3,N12109,B752
3c4944,D-ABJD,B735
a13391,N177DZ,B763
a3d75c,N347AN,B763
4007a0,G-WOWB,DH8C
4b1618,HB-IJO,A320
3949ec,F-GSPM,B772
4c8023,5B-DBV,B738
400868,G-NIKO,A321
401079,G-LSAI,B752
4ca268,EI-DHM,B738
4010eb,G-EZBW,A319
3c6512,D-AIHR,A346
c01754,C-FIVR,B773
478390,LN-KKI,B733
342189,EC-JEJ,A321
4004bb,G-MAJS,A30B
c05840,C-GHKX,A333
4008ff,G-WWBB,A332
c04eb6,C-GDUZ,B763
400b45,G-CELJ,B733
aae2e7,N800LR,H25B
4ca569,EI-DWD,B738
4ca5d9,EI-RJW,RJ85
4e+41,G-CELO,B733
400a89,G-YPRS,C550
45d967,OY-VKG,A333
45b655,OY-MRU,B737
800382,VT-JEC,B77W
8003b9,VT-JWG,A332
3d20f6,D-EKSS,M20P
40042d,G-MONS,A30B
440052,OE-LBS,A320
4840000,PH-KZF,F70
a242a9,N245AY,B762
4006ae,G-CIVX,B744
40083b,G-EUPE,A319
3c4d65,D-ACKE,CRJ9
3c7527,D-AMIG,F900
4c802d,5B-DBZ,B738
a43aea,N37172,BE30
400927,G-VEIL,A346
4ca20c,EI-DEZ,A319
48436b,PH-BQD,B772
c81053,ZK-SUH,B744
4951cd,CS-TNM,A320
506c19,S5-AAN,CRJ9
3c119d,D-AVRK,RJ85
4005d6,G-OBYD,B763
80043b,VT-JWM,A332
395023,F-GUBD,E145
800300,VT-ALJ,B77W
896146,A6-EHC,A345
4ca1b4,EI-DAE,B738
4008a4,G-JMCF,B752
4008f7,G-VGAL,B744
896274,A6-DU3,A139
45c944,OY-RJD,CRJ2
400685,G-VIIM,B772
400a0d,G-VROC,B744
4ca2c0,EI-DLC,B738
449152,OO-DJR,RJ85
c053f6,C-GFUR,A333
394a0a,F-GSQK,B77W
4011d5,G-FBEE,E190
a895eb,N652UA,B763
3c4892,D-ABDR,A320
a826ec,N624US,B742
400c53,G-GTDL,A320
400afb,G-EUXC,A321
3c6568,D-AIKH,A333
4ca6f1,EI-DSU,A320
4004ec,G-DOCN,B734
400524,G-BNWU,B763
400a5f,G-CELR,B733
0d04b7,XA-MXN,B762
40061b,G-BNWZ,B763
4e+32,G-BGFT,PA34
4840f5,PH-BTI,B733
3c666b,D-AISK,A321
4004c8,G-BNLZ,B744
39644c,F-GZCM,A332
400afa,G-EZSM,A319
471629,HA-LOR,B737
4c8021,5B-DBT,A332
400be5,G-MEDK,A320
48415e,PH-BXE,B738
3c48a5,D-ABEE,B733
40040,G-BNWR,B763
a35b1e,N315TS,B737
30023a,I-FLYD,C560
405518,G-ECOB,DH8D
89604d,A6-EMJ,B772
800386,VT-JEG,B77W
3c656b,D-AIKK,
3c662c,D-AIQL,A320
4ba8f4,TC-JGT,B738
895071,V8-RBJ,B763
c0583a,C-GHKR,A333
4ca1ba,EI-DAI,B738
400515,G-DOCV,B734
405aa5,G-HBOB,EC35
a7f642,N612AX,DC10
461f69,OH-LXH,A320
400b57,G-TTID,A321
394c09,F-GTAJ,A321
400a27,G-CDCX,C750
4cc2a2,TF-FIJ,B752
a7d27a,N603AX,DC10
394a15,F-GSQV,B77W
4ca2a8,EI-DHT,B738
3c4aa4,D-ABUD,B763
a87d48,N646UA,B763
3c6561,D-AIKA,A333
40054f,G-BNWX,B763
a05469,N120HH,B407
4cc269,TF-FIA,B752
4ca224,EI-DCH,B738
4ca259,EI-DHD,B738
a87558,N644NW,B742
0c8002,PZ-TCM,B743
3c4aba,D-ABUZ,B763
400a58,G-WINA,C560
4ca253,EI-DCS,B738
4019c6,G-BAEM,DR40
3912,F-GEXA,B744
43e7a2,M-ROWL,F2TH
43c1c6,ZZ176,C17
abbb2c,N855NW,A332
40040e,G-BNLO,B744
400df7,G-JECK,DH8D
3c4aa9,D-ABUI,B763
01010e,SU-KBB,A319
4008aa,G-TOYD,B733
a173a8,N193DN,B763
400f0b,G-VRED,A346
3c4aa5,D-ABUE,B763
02009e,CN-NMC,A320
4006a8,G-CIVR,B744
489541,SP-LKA,B735
478328,LN-ROT,MD82
401042,G-JECS,DH8D
400a8b,G-OBNA,PA34
40104f,G-THOP,B733
4d201f,9H-AEI,A320
400a04,G-CELX,B733
400b26,G-CELF,B733
a95dba,N702TW,B752
80043c,VT-JWN,A332
a49135,N39364,B763
48436d,PH-BQF,B772
4bd063,TC-TCC,A320
3c6614,D-AIPT,A320
400a8f,G-VSSH,A346
a97282,N708CK,B742
4000000000000000,G-EZAU,A319
401153,G-JECY,DH8D
43e722,M-SAIR,F900
40073d,G-BYGE,B744
400db1,G-EZAN,A319
484008,PH-MCG,B763
44f424,CH-04,C130
89615a,A6-MRS,B738
a3f80b,N355GW,C172
40067f,G-TCCB,B763
400a68,G-EZEA,A319
4006ad,G-CIVW,B744
4057d0,G-LCYB,RJ85
400a31,G-YAKN,YK52
484009,PH-MCH,B763
4d00c4,LX-LGK,E135
4ca026,EI-CDG,B735
40073c,G-BYGD,B744
400c4a,G-EZIH,A319
478500,LN-NOL,B738
3c64ef,D-AIGO,A343
4000ec,VP-BCC,CRJ2
5080000000000,UR-GAQ,B733
a87223,N643UA,B763
896109,A6-ECB,B77W
400426,G-BNLS,B744
49d0a7,OK-YAC,A310
a0aa1f,N142AA,C56X
a0a91f,N14121,B752
4ca0bb,EI-CPD,A321
3949ed,F-GSPN,B772
400900,G-WWBD,A332
4841b7,PH-JCT,F70
8960dd,A6-EBV,B77W
c078bf,C-GTSW,A310
400519,G-OOAN,B763
a99f0d,N719SA,GLF4
478341,LN-RPU,B736
a316d1,N2989M,PA32
4d02fd,LX-INS,C56X
39320d,F-GMQN,TRIN
3c6593,D-AILS,A319
501d1f,9A-CTJ,A320
c07c30,C-GVAT,A310
400f31,G-TCXA,A332
75007e,9M-MPQ,B744
aad981,N799AN,B772
4004c4,G-BNLV,B744
405c10,G-ECOZ,DH8D
495146,CS-TJF,A320
ae145b,Jun-57,C17
400d6a,G-CDNK,LJ45
400d62,G-JBIZ,C550
a2a5e7,N27UB,C25B
76cd66,9V-SKF,A388
3c4ac1,D-ABVA,B744
4b19ec,HB-JVG,F100
495204,CS-TPD,F100
aad780,N798UA,B772
4ca77e,EI-EEA,B738
400803,G-EUPC,A319
4baa46,TC-JRF,A321
4ca6bb,EI-WXA,RJ85
4b1a53,HB-JZF,A319
468967,SX-BKG,B734
7c4834,VH-OJQ,B744
4ba943,TC-JJC,B77W
516096,4O-AOL,F100
401251,G-EDCL,C25A
4ca5c9,EI-DVF,A320
887801,HS-TGO,B744
400db3,G-EZAP,A319
43c1c3,ZD952,L101
4a08e5,YR-BGE,B733
4ca1b2,EI-DAC,B738
40531b,G-TJDM,RV6
4d0120,LX-MCV,B744
aa4862,N76153,B762
400ada,G-OMJC,PRM1
394c07,F-GTAH,A321
c2b3f5,177704,C17
4ca6e4,EI-DST,A320
3944eb,F-GRHL,A319
06a030,A7-ACF,A332
49124c,CS-DRL,H25B
40010d,VP-BSI,GLF5
491256,CS-DRV,H25B
400d30,G-VWKD,A346
4ca4e8,EI-DPD,B738
4bcce8,TC-SGH,B738
4b18fe,HB-JMC,A343
491308,CS-DXH,C56X
7c4922,VH-OQC,A388
484065,PH-KCG,MD11
a2567a,N25PR,PA30
40107a,G-JECU,DH8D
a5f07f,N482EV,B742
aaa6dd,N786AN,B772
748019,OD-MEB,A332
506c01,S5-AAA,A320
3c6618,D-AIPX,A320
a9f67d,N741CK,B744
43c203,ZD621,H25A
510041,EW-252PA,B735
3949ef,F-GSPP,B772
440047,OE-HTJ,D328
43e75b,M-FIVE,B350
4ca61d,EI-DWP,B738
400e0d,G-CDPT,B763
424118,VP-BKC,A320
a77d88,N582C,TBM7
43e723,M-NEWT,CL30
4ca741,EI-EBZ,B738
400407,G-BNLH,B744
400c46,G-EZIC,A319
4ca73e,EI-EBW,B738
502c41,YL-BBL,B733
4010b7,G-JECV,DH8D
3b77cb,71,CN35
45ad03,OY-KHC,MD82
4.05e+25,G-FDZR,B738
4b38e9,HB-VOJ,H25B
867f68,JA731J,B77W
4054a7,G-FDZE,B738
400551,G-CIVB,B744
4ca264,EI-DHH,B738
3420ca,EC-IXD,A321
4013af,G-OZBT,A321
a88e0a,N650PL,
4843bc,PH-MCY,MD11
45ac54,OY-KBT,A319
a15b05,N187DN,B763
4005a4,G-BYAW,B752
43e781,M-ONAV,H25B
4b1697,HB-IOL,A321
4004ea,G-DOCL,B734
4692c8,SX-DVH,A320
3c6dc6,D-AKNF,A319
4ca263,EI-DHG,B738
4ac913,SE-RHS,B738
400b4c,G-JECF,DH8D
e4818a,PT-MUB,B77W
40590000,G-FDZJ,B738
4ca213,EI-DEA,A320
400efb,G-EZBA,A319
3c6628,D-AIQH,A320
400adf,G-EZEP,A319
ae021f,85-0027,DC10
4ca245,EI-DCO,B738
49528b,CS-TTK,A319
3c4e44,D-ACRD,CRJ2
40040c,G-BNLM,B744
491262,CS-DSB,FA7X
3c56f0,D-AEWP,B463
899105,B-18719,B744
4783b4,LN-KKP,B733
4009b2,G-VGOA,A346
405f0f,G-EZFG,A319
3c48ad,D-ABEM,B733
49d0ae,OK-XGA,B735
4b17a4,HB-IYU,RJ1H
40075f,G-THOL,B733
4c8025,5B-DBX,B738
4005ba,G-VIIB,B772
484966,PH-BGG,B737
4ca56f,EI-DWJ,B738
400fea,G-RJXO,E145
4ca6d5,EI-REP,AT72
4492000000,OO-DWF,RJ1H
8961b2,A6-EHE,A346
394723,F-GRZD,CRJ7
3c7206,D-ALPF,A332
3424d4,EC-KDH,A320
a54c49,N440TC,GLF4
43c5cc,XZ936,GAZL
4603c7,OH-BLF,MD90
400541,G-MONX,A320
40041e,G-BNWD,B763
398600,F-HBXC,E170
4ca56e,EI-DWI,B738
4012a6,G-SIVR,EXPL
4ca51e,EI-RJS,RJ85
4ca215,EI-DEG,A320
157714,CU-T1254,IL96
4011fa,G-IFIT,PA31
a68da1,N521LB,
4c800f,5B-DBC,A320
3c4ad3,D-ABVS,B744
398567,F-HBLH,E190
4e+40,G-JECN,DH8D
4ca199,EI-CXR,B733
aacc29,N795SA,B742
4402f4,OE-GLY,LJ60
4006b4,G-OBYF,B763
400532,G-VIPI,H25B
40073e,G-BYGF,B744
3c1194,D-AVRB,RJ85
3c6602,D-AIPB,A320
154094,RA-82068,A124
3c4e0c,D-ACPL,CRJ7
4c800e,5B-DBB,A320
440071,OE-LNN,B737
4841a4,PH-KZN,F70
738045,4X-ELE,B744
a96fac,N707MK,B06
4840d5,PH-KZC,F70
3c662e,D-AIQN,A320
400d9c,G-HAFT,DA42
392af2,F-GKXS,A320
4400bd,OE-GAA,C560
3e4782,D-ISGW,C525
342195,EC-JGM,A320
40109e,G-MSJF,B737
4007fa,G-YMMO,B772
400a45,G-HRYZ,P28A
4b1a5d,HB-JZP,A319
4015ed,G-ASRW,P28A
a5e6f5,N48HF,C750
400df4,G-VUEZ,C550
4006000000,G-BZAU,RJ1H
342104,EC-JFH,A320
4951c7,CS-TNG,A320
4ca0d1,EI-CPE,A321
404166,G-ELZY,P28A
400f47,G-VUEM,C501
4951d1,CS-TNQ,A320
4005bc,G-VIID,B772
405b28,G-TDSA,F406
a1ecf5,N223JG,TBM8
400984,G-MAJB,JS41
491183,CS-DLC,F2TH
4e+35,G-DAVD,C172
4007ed,G-YMMB,B772
405fe5,G-PGRP,E135
40129e,G-BOYF,S76
780450,B-6113,A332
20002,CN-RMG,B734
45d966,OY-VKF,A332
3c6594,D-AILT,A319
4ca1c1,EI-DAM,B738
4ca6a7,EI-DYS,B738
a7705a,N579FE,MD11
44028,9G-AXB,DC86
3c4b0e,D-ABXN,B733
4057f2,G-FBEJ,E190
45acc7,OY-KFG,CRJ9
401225,G-BGVN,P28T
48418b,PH-BXP,B739
3ce619,D-COLD,SW4
4007f3,G-YMMH,B772
43c147,ZE701,B461
405700,G-PHEW,SR22
3c4a86,D-ABTF,B744
501d1e,9A-CTI,A319
45f425,C-172,CL60
3c664b,D-AIRK,A321
449200000000,OO-DWH,RJ1H
710014,HZ-AIU,B742
3c4926,D-ABIF,B735
400ccb,G-CDLT,H25B
06a03c,A7-AEC,A333
a60a80,N489EV,B742
4690c4,SX-DFD,A343
7101ef,HZ-XY7,A320
400c41,G-EZNM,A319
a37d45,N324B,CL60
a26f98,N256UP,MD11
896050,A6-EMM,B773
495224,CS-TQD,A320
45acc9,OY-KFI,CRJ9
ab5387,N829NS,H25B
393f0d,F-GPYN,AT45
4baa48,TC-JRH,A321
43e7bc,M-FPIA,GLF5
4840fd,PH-WXC,F70
489546,SP-LKF,B735
392af1,F-GKXR,A320
7608b1,AP-BEQ,A310
4007f7,G-YMML,B772
4ca644,EI-DYB,B738
400881,G-MEDE,A320
4911d0,CS-DNP,F2TH
491166,CS-DKF,GLF5
391559,F-GFKZ,A320
4ca6fc,EI-DYY,B738
3c64c1,D-AIFA,A343
aa43f1,N7600S,F900
484075,PH-MCP,MD11
461f34,OH-LVG,A319
40080,G-JMAB,B753
400c5c,G-CDKA,SB20
aadf08,N8VB,GLEX
40042c,G-MONR,A30B
4007ea,G-OBYI,B763
405db1,G-CFJN,DA40
896114,A6-ECM,B77W
a81508,N62MS,GLF5
47837b,LN-RRT,B738
4692c7,SX-DVG,A320
4ca759,EI-DTA,A320
400dab,G-GDSG,A109
45b646,OY-MRF,B737
400a13,G-EZJY,B737
88001e,HS-TGR,B744
a7d69d,N604FE,MD11
a8c049,N663KK,SR22
8960d7,A6-EBP,B77W
76ceec,9V-SWL,B77W
4053c4,G-ECOA,DH8D
4403ce,OE-INS,CL60
491306,CS-DXF,C56X
484028,PH-BDP,B733
8960cc,A6-EBE,B77W
a09727,N137WA,DC10
4b1613,HB-IJJ,A320
400932,G-GSSA,B744
449158,OO-DJX,RJ85
3c6309,D-AHXI,B737
3c484a,D-ABBJ,B738
4ca1f2,EI-DAV,B738
471ea5,HA-LPT,A320
00b0f1,ZS-SNG,A346
4ca705,EI-EBH,B738
451e8c,LZ-FBB,A319
a35759,N314TC,H25B
451e8e,LZ-FBD,A320
3c6665,D-AISE,A321
8003000,VT-ALK,B77W
342541,EC-IXL,SW4
aabbc9,N791AN,B772
3c4e42,D-ACRB,CRJ2
71bf00,HL7700,B772
4cc2a7,TF-FIP,B752
478371,LN-TUM,B737
4009b1,G-EVLN,GLF4
4ca267,EI-DHK,B738
40065d,G-BIKS,B752
47850000,LN-NOM,B738
40047d,G-OJIB,B752
3c706a,D-ALCJ,MD11
780144,B-HUA,B744
40076d,G-EOMA,A332
400523,G-BNWT,B763
400806,G-CDZM,B738
4cc2ae,TF-FIX,B753
4ca24f,EI-DCW,B738
3c4938,D-ABIX,B735
869144,JA781A,B77W
400400,G-BNWS,B763
471627,HA-LON,B736
43e78b,M-JANP,GLEX
868034,JA737J,B77W
a2e9cc,N287UP,MD11
4006ac,G-CIVV,B744
3c706c,D-ALCL,MD11
4780af,LN-RPH,B736
4ca2ff,EI-DLS,B738
4b16ba,HB-IPU,A319
601849,EZ-A014,B752
400cd7,G-EZIX,A319
04c041,5Y-KYZ,B772
a69072,N522AX,DC10
4ca622,EI-DWV,B738
3cc548,D-CCAA,LJ35
401275,G-MATF,GLF4
3cc9c5,D-CDSF,LJ35
3c6304,D-AHXD,B737
47838f,LN-KKH,B733
45ad15,OY-KHU,MD87
400c09,G-THOG,B733
a810af,N619FE,MD11
400f36,G-EEBB,S76
c01e90,C-FLOX,B752
00b0bb,ZS-SLE,A342
478391,LN-KKJ,B733
400b8c,G-SAAW,B738
4ca1f4,EI-DAX,B738
484556,PH-BXY,B738
3000c9,I-BIKE,A320
4d2020,9H-AEJ,A319
4785df,LN-NOQ,B738
c021fc,C-FMWP,B763
449151,OO-DJQ,RJ85
4780b5,LN-KKD,B733
4ca668,EI-RJG,RJ85
780177,B-HXJ,A343
a37efc,N324UP,B763
a16ec2,N19136,B752
760916,AP-BHV,B77W
80049a,VT-VJP,A332
4b197e,HB-JRA,CL60
a260bc,N252UP,MD11
710034,HZ-AKB,B772
a8886d,N649UA,B763
400756,G-OBYG,B763
4ca593,EI-REL,AT72
89000b,7O-ADT,A332
800498,VT-VJN,A332
3c7062,D-ALCB,MD11
391552,F-GFKS,A320
48416f,PH-KZM,F70
60021,3B-NBJ,A343
34250c,EC-KBX,A319
8960d5,A6-EBN,B77W
896110,A6-ECI,B77W
a4f2ee,N418MC,B744
3c6634,D-AIQT,A320
80043a,VT-JWL,A332
c81882,ZK-OKE,B772
45ce49,OY-SRI,B762
8990d3,B-16703,B77W
3c6599,D-AILY,A319
4005bd,G-VIIE,B772
71bc93,HL7493,B744
3c4d6a,D-ACKJ,CRJ9
4ca285,EI-FXD,AT43
ac6f37,N900AL,GLF4
aaae4b,N788AN,B772
4cc29f,TF-FIH,B752
7c482a,VH-OJG,B744
495286,CS-TTF,A319
ae014c,63-8025,K35R
4ca2d1,EI-REI,AT72
400cd4,G-EZIU,A319
06a044,A7-AGB,A346
45ce46,OY-SRF,B762
ae0264,60-0355,K35R
76cd69,9V-SKI,A388
3c48b4,D-ABET,B733
468acb,SX-BVK,A320
89609b,A6-EMW,B773
0100fb,SU-BPY,B752
800387,VT-JEH,B77W
43be8b,VP-BZS,A320
a39f0d,N332UP,B763
400b8b,G-DLCH,B738
75007c,9M-MPO,B744
400655,G-BIKI,B752
750156,9M-NAA,A319
a5d4aa,N475LC,GLF4
400895,G-BTTO,ATP
76ccd0,9V-SFP,B744
400580,G-DAJC,B763
400c5e,G-CGET,B733
3c7203,D-ALPC,A332
400656,G-BIKK,B752
a31df5,N30LB,F900
4ba9c3,TC-JNC,A332
39600e,F-GYAO,A321
491167,CS-DKG,GLF5
aa1a16,N750AN,B772
3c4a84,D-ABTD,B744
800462,VT-ALM,B77W
a9b2e9,N724FD,A306
c02205,C-FMWY,B763
ab7376,N837MH,B764
ab7ae4,N839MH,B764
a2aa4a,N271AY,A333
aa9249,N780UA,B772
aa64ba,N769UA,B772
ab15c2,N813NW,A333
4006d0,G-VELD,A343
740524,JY-AID,A342
71003d,HZ-AKK,B772
a67c86,N517MC,B742
3c650e,D-AIHN,A346
3c6501,D-AIHA,A346
45c865,OY-RCE,RJ85
aad5ca,N798AN,B772
40051c,G-OOOZ,B752
00b0b9,ZS-SLC,A342
3c6566,D-AIKF,A333
4006a9,G-CIVS,B744
a1a2a2,N204UA,B772
04c02f,5Y-KQU,B772
710035,HZ-AKC,B772
a977bb,N709TW,B752
89507d,V8-RBH,B763
a606c9,N488EV,B742
a0e0cf,N156DL,B763
aa8a83,N779AN,B772
40015,ET-ALO,B763
3c6569,D-AIKI,A333
3c4ad9,D-ABVY,B744
4008fa,G-VROY,B744
4004c3,G-BNLU,B744
4b16b7,HB-IPR,A319
4ca7bf,EI-DTG,A320
a1978f,N201UU,B752
4400b2,OE-LDA,A319
